experiment_id,device_id,session_uid,recording_run_id,device_session_id,record_id,window_idx,window_start_ms,window_end_ms,sample_count,sample_rate_hz,movement_type,movement_label,subject_id,acc_norm_mean,acc_norm_std,acc_norm_max,acc_norm_min,acc_norm_range,acc_zcr,ax_std,ax_mean,ay_std,ay_mean,az_std,az_mean,gyro_norm_mean,gyro_norm_std,gyro_norm_max,gx_std,gy_std,gz_std
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,0,68414,70414,200,100.0,various_movements,последовательность разных движений,child_01,0.9822,0.424,2.7056,0.0911,2.6145,4.0,0.2071,-0.3149,0.4631,0.8765,0.0954,0.1034,54.47,52.94,313.07,22.3916,60.4663,37.229
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,1,68914,70914,200,100.0,various_movements,последовательность разных движений,child_01,1.0527,0.8235,5.2623,0.0911,5.1712,5.0,0.5074,-0.4278,0.829,0.7957,0.1511,0.0513,82.17,60.33,313.07,46.1186,72.118,54.1522
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,2,69414,71414,200,100.0,various_movements,последовательность разных движений,child_01,1.167,1.1107,5.9181,0.0911,5.827,6.0,0.6553,-0.5166,1.1092,0.7944,0.1922,0.0293,117.38,61.05,400.97,65.2302,94.7541,63.2094
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,3,69914,71914,200,100.0,various_movements,последовательность разных движений,child_01,1.2067,1.2184,5.9181,0.0911,5.827,5.5,0.8352,-0.6104,1.1716,0.6731,0.2098,0.0282,123.22,60.21,400.97,69.7238,92.2151,72.6601
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,4,70414,72414,200,100.0,various_movements,последовательность разных движений,child_01,1.4067,1.6731,9.25,0.0745,9.1755,5.5,1.1874,-0.7404,1.4673,0.7239,0.3768,0.0226,135.04,90.28,628.95,91.6903,111.8314,73.4321
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,5,70914,72914,200,100.0,various_movements,последовательность разных движений,child_01,1.4664,1.6684,9.25,0.0745,9.1755,7.5,1.2737,-0.7683,1.4107,0.7362,0.4274,0.0816,145.43,97.14,628.95,89.8235,123.4018,82.7395
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,6,71414,73414,200,100.0,various_movements,последовательность разных движений,child_01,1.4676,1.6403,9.25,0.0745,9.1755,8.0,1.3197,-0.8838,1.3055,0.6294,0.4565,0.1141,146.04,94.92,628.95,84.2254,120.6899,92.7142
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,7,71914,73914,200,100.0,various_movements,последовательность разных движений,child_01,1.5379,1.6606,9.25,0.0629,9.1871,9.0,1.3299,-0.9627,1.3138,0.655,0.5143,0.0857,167.66,96.14,628.95,95.614,132.502,101.5552
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,8,72414,74414,200,100.0,various_movements,последовательность разных движений,child_01,1.4297,1.3624,6.9471,0.0629,6.8842,10.5,1.2976,-0.9477,0.9425,0.4761,0.45,0.0287,159.06,75.54,424.01,88.7672,114.864,98.0951
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,9,72914,74914,200,100.0,various_movements,последовательность разных движений,child_01,1.3628,1.2646,4.6179,0.0629,4.555,9.5,1.2404,-0.9793,0.8209,0.3366,0.4142,0.01,144.59,71.71,327.33,85.0483,106.586,85.9865
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,10,73414,75414,200,100.0,various_movements,последовательность разных движений,child_01,1.2856,1.2852,4.9259,0.0629,4.863,7.0,1.2574,-0.9165,0.7931,0.3452,0.3665,-0.0305,138.53,72.44,327.33,88.4328,100.3825,80.3849
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,11,73914,75914,200,100.0,various_movements,последовательность разных движений,child_01,1.2232,1.2834,4.9259,0.0631,4.8628,6.5,1.2292,-0.8648,0.7843,0.2693,0.4199,-0.1434,132.2,60.99,315.16,79.8987,96.9159,71.3589
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,12,74414,76414,200,100.0,various_movements,последовательность разных движений,child_01,1.136,1.1862,4.9259,0.099,4.8269,4.5,1.0786,-0.8329,0.7523,0.2783,0.4205,-0.142,132.12,59.41,315.16,70.6895,102.9383,72.5427
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,13,74914,76914,200,100.0,various_movements,последовательность разных движений,child_01,1.0743,1.2086,4.9259,0.0231,4.9028,4.0,1.0751,-0.7992,0.7398,0.3142,0.3853,-0.1605,133.69,60.54,315.16,67.0244,105.9549,73.0524
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,14,75414,77414,200,100.0,various_movements,последовательность разных движений,child_01,1.1239,1.1752,4.5468,0.0231,4.5237,4.5,1.0935,-0.8139,0.7288,0.2838,0.3847,-0.1622,128.26,59.45,284.08,66.4374,105.3864,64.961
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,15,75914,77914,200,100.0,various_movements,последовательность разных движений,child_01,1.274,1.2721,5.6228,0.0231,5.5997,4.5,1.1466,-0.8939,0.9179,0.4461,0.284,-0.0741,120.86,59.12,284.08,61.5771,104.1811,55.5534
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,16,76414,78414,200,100.0,various_movements,последовательность разных движений,child_01,1.3375,1.3669,6.9803,0.0231,6.9572,4.5,1.0675,-0.8872,1.1279,0.5778,0.3484,-0.0566,133.69,69.75,345.73,80.0665,113.4059,54.2343
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,17,76914,78914,200,100.0,various_movements,последовательность разных движений,child_01,1.4682,1.4306,6.9803,0.1005,6.8798,6.0,1.0185,-0.8413,1.3501,0.6805,0.4079,-0.0695,150.1,78.84,347.29,93.8641,130.041,52.908
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,18,77414,79414,200,100.0,various_movements,последовательность разных движений,child_01,1.5292,1.4,6.9803,0.1005,6.8798,6.5,0.9901,-0.8067,1.3984,0.7058,0.4504,-0.1045,168.95,82.36,446.82,101.1323,146.0114,60.0101
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,19,77914,79914,200,100.0,various_movements,последовательность разных движений,child_01,1.483,1.4339,6.9803,0.0286,6.9517,7.5,0.9951,-0.6801,1.4018,0.6843,0.5767,-0.1923,176.82,91.66,563.14,103.778,155.9478,66.853
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,20,78414,80414,200,100.0,various_movements,последовательность разных движений,child_01,1.4792,1.4903,7.2691,0.0286,7.2405,7.0,1.0787,-0.6321,1.4316,0.6686,0.576,-0.1327,178.98,96.5,563.14,98.6555,163.5418,68.737
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,21,78914,80914,200,100.0,various_movements,последовательность разных движений,child_01,1.419,1.5925,7.2691,0.0286,7.2405,6.0,1.1883,-0.6473,1.3729,0.6534,0.636,-0.0499,162.54,97.6,563.14,94.8904,148.7877,68.9204
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,22,79414,81414,200,100.0,various_movements,последовательность разных движений,child_01,1.3103,1.5937,7.2691,0.0286,7.2405,5.0,1.2015,-0.7013,1.2775,0.5646,0.6089,0.0122,147.65,90.74,563.14,81.1623,134.5759,72.5565
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,23,79914,81914,200,100.0,various_movements,последовательность разных движений,child_01,1.2604,1.5288,7.2691,0.0304,7.2387,4.0,1.2588,-0.7783,1.1546,0.4504,0.4282,0.1273,144.5,79.89,379.75,82.0101,127.1631,64.7041
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,24,80414,82414,200,100.0,various_movements,последовательность разных движений,child_01,1.2802,1.5222,6.8897,0.0304,6.8593,6.0,1.465,-0.8667,0.8764,0.2991,0.4347,0.1105,138.04,74.03,514.17,68.7694,124.2484,63.8689
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,25,80914,82914,200,100.0,various_movements,последовательность разных движений,child_01,1.2801,1.409,6.8897,0.0304,6.8593,6.0,1.5228,-0.9329,0.5403,0.1749,0.3334,0.0317,150.14,70.24,514.17,86.1317,125.6079,64.5338
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,26,81414,83414,200,100.0,various_movements,последовательность разных движений,child_01,1.3079,1.4419,6.8897,0.0304,6.8593,6.0,1.5209,-0.9148,0.685,0.1956,0.3635,-0.0075,165.95,80.35,514.17,99.2997,143.9995,57.4648
EXP15,m5-01,EXP15_m5-01_A_A001,A,A001,1,27,81914,83914,200,100.0,various_movements,последовательность разных движений,child_01,1.3189,1.4132,6.8897,0.0795,6.8102,6.5,1.4464,-0.8998,0.7987,0.252,0.3653,-0.0095,177.88,81.76,514.17,98.265,157.8978,59.2009
