row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A003,,,142392,,,,,,,,NEW_SESSION,
EVENT,A003,1,,143502,,,,,,,,START,
DATA,A003,1,1,143622,0.9030,-0.1638,0.4300,-11.3525,2.2583,-9.3994,1.0135,,
DATA,A003,1,2,143722,0.8747,-0.1836,0.4110,-1.0376,6.4087,1.7700,0.9837,,
DATA,A003,1,3,143822,0.8830,-0.1946,0.4046,-1.5869,2.5635,3.6621,0.9906,,
DATA,A003,1,4,143922,0.8764,-0.1968,0.4264,0.3052,-1.7700,2.6855,0.9943,,
DATA,A003,1,5,144022,0.8742,-0.2121,0.4073,1.2817,-2.1362,4.3945,0.9875,,
DATA,A003,1,6,144122,0.8727,-0.2085,0.4193,1.0986,-4.8828,3.9673,0.9904,,
DATA,A003,1,7,144232,0.8718,-0.2085,0.4156,-0.5493,1.7700,1.5869,0.9880,,
DATA,A003,1,8,144332,0.8744,-0.2014,0.4239,-0.2441,1.0376,2.4414,0.9924,,
DATA,A003,1,9,144432,0.8813,-0.2141,0.4222,0.6104,-1.0376,3.2959,1.0004,,
DATA,A003,1,10,144532,0.8779,-0.2119,0.4256,0.4883,-1.5259,1.4648,0.9984,,
DATA,A003,1,11,144647,0.8620,-0.2190,0.4146,-2.1973,-2.8076,6.8970,0.9813,,
DATA,A003,1,12,144747,0.8740,-0.2251,0.4029,-5.8594,-3.1128,10.9863,0.9883,,
DATA,A003,1,13,144847,0.8740,-0.2515,0.4017,-1.4648,-6.1035,8.2397,0.9942,,
DATA,A003,1,14,144947,0.8713,-0.2502,0.4032,0.4272,-5.4321,7.6294,0.9921,,
DATA,A003,1,15,145047,0.8747,-0.2773,0.3748,-8.0566,-7.9956,4.5166,0.9912,,
DATA,A003,1,16,145152,0.8828,-0.2576,0.3675,-15.0146,-11.9019,-2.1362,0.9903,,
DATA,A003,1,17,145252,0.8857,-0.2981,0.3507,-6.8359,-18.1274,1.5869,0.9981,,
DATA,A003,1,18,145352,0.9172,-0.3230,0.2774,-5.9814,-12.7563,0.7935,1.0112,,
DATA,A003,1,19,145452,0.8835,-0.2891,0.3006,3.5400,10.8032,4.0894,0.9770,,
DATA,A003,1,20,145552,0.8666,-0.3015,0.3209,-2.4414,60.7300,0.0610,0.9721,,
EVENT,A003,1,,145655,,,,,,,,STOP,20
EVENT,A003,2,,154094,,,,,,,,START,
DATA,A003,2,1,154202,0.1091,0.0173,1.0545,11.9019,143.8599,19.8975,1.0603,,
DATA,A003,2,2,154315,-0.1273,0.1577,0.9891,89.0503,158.5693,-12.6343,1.0097,,
DATA,A003,2,3,154415,-0.0650,0.3399,1.0079,-49.4385,-28.9307,-64.1479,1.0656,,
DATA,A003,2,4,154515,-0.5377,-0.0132,1.2643,-80.4443,135.3149,-121.6431,1.3739,,
DATA,A003,2,5,154615,-0.8067,-0.4543,0.9415,183.0444,108.7646,89.4165,1.3205,,
DATA,A003,2,6,154716,-0.7203,0.0713,0.7293,-65.9180,-96.1914,-49.7437,1.0275,,
DATA,A003,2,7,154818,0.2817,0.5855,0.8968,-146.3013,-138.4277,-117.0654,1.1074,,
DATA,A003,2,8,154923,0.2204,0.2529,0.6869,-162.9639,10.1318,-37.9028,0.7644,,
DATA,A003,2,9,155023,0.3076,-0.2876,0.6266,-114.8682,64.0259,93.0176,0.7549,,
DATA,A003,2,10,155123,0.0527,-0.6230,0.7318,-125.6104,7.3242,65.2466,0.9625,,
DATA,A003,2,11,155223,0.0534,-0.7932,0.7054,-105.7129,-6.1646,-34.1187,1.0628,,
DATA,A003,2,12,155323,1.5529,-1.3269,0.4937,-217.4072,-7.1411,-37.7808,2.1014,,
DATA,A003,2,13,155423,7.6891,2.8848,-2.5153,-328.1250,-219.5435,-546.5088,8.5890,,
DATA,A003,2,14,155523,6.8251,7.9375,7.9933,-103.8208,-978.2104,-320.6177,13.1711,,
DATA,A003,2,15,155623,1.4311,-2.4468,4.9017,327.6367,290.4663,-181.7627,5.6623,,
DATA,A003,2,16,155723,0.7995,-1.8052,-2.7145,-21.7285,-71.8384,28.1982,3.3565,,
DATA,A003,2,17,155823,0.0283,-0.6819,0.3817,15.2588,-76.3550,-0.1221,0.7819,,
DATA,A003,2,18,155923,0.0236,-0.9458,0.1664,-6.1035,-9.5825,26.8555,0.9606,,
DATA,A003,2,19,156023,-0.3809,-1.0618,0.2833,42.8467,-2.1973,24.9023,1.1630,,
DATA,A003,2,20,156123,-0.1329,-0.9753,0.1922,31.6162,-8.3618,7.7515,1.0029,,
DATA,A003,2,21,156223,-0.1058,-0.8594,0.4664,102.2949,60.1196,-96.4966,0.9835,,
DATA,A003,2,22,156323,-0.1297,-0.6252,0.5704,89.5386,-36.0718,-178.9551,0.8562,,
