row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A001,,,31939,,,,,,,,NEW_SESSION,
EVENT,A001,1,,35751,,,,,,,,START,
DATA,A001,1,15,36413,0.8052,-0.2221,0.5551,5.8594,-16.4185,-0.4883,1.0029,,
DATA,A001,1,16,36453,0.8047,-0.2194,0.5436,5.4932,-17.1509,0.9155,0.9956,,
DATA,A001,1,17,36493,0.7982,-0.2033,0.5570,4.5166,-14.9536,1.3428,0.9943,,
DATA,A001,1,18,36533,0.7984,-0.2265,0.5370,5.6763,-15.9302,0.8545,0.9885,,
DATA,A001,1,19,36573,0.8011,-0.2114,0.5477,6.1035,-18.2495,0.9155,0.9932,,
DATA,A001,1,20,36613,0.8040,-0.2165,0.5551,6.4087,-15.5640,-0.1831,1.0007,,
DATA,A001,1,21,36653,0.8016,-0.2099,0.5590,4.5776,-14.6484,1.1597,0.9995,,
DATA,A001,1,22,36693,0.8043,-0.2116,0.5568,5.7373,-17.3340,1.0376,1.0008,,
DATA,A001,1,23,36733,0.7962,-0.2050,0.5594,5.2490,-18.1885,0.8545,0.9945,,
DATA,A001,1,24,36773,0.7967,-0.2067,0.5592,4.3335,-16.5405,1.2207,0.9951,,
DATA,A001,1,25,36813,0.7923,-0.2048,0.5511,5.8594,-15.5029,0.6714,0.9866,,
DATA,A001,1,26,36853,0.7984,-0.2138,0.5538,5.2490,-17.2119,2.0752,0.9949,,
DATA,A001,1,27,36893,0.7957,-0.2057,0.5521,6.1035,-17.0898,0.4272,0.9901,,
DATA,A001,1,28,36933,0.7969,-0.2123,0.5519,4.8828,-18.9209,1.2817,0.9924,,
DATA,A001,1,43,37585,0.7869,-0.2162,0.5599,3.6621,-15.6860,1.0376,0.9897,,
DATA,A001,1,44,37625,0.7867,-0.2167,0.5626,4.9438,-13.0615,0.7324,0.9912,,
DATA,A001,1,45,37665,0.7857,-0.2111,0.5721,5.3711,-16.4795,1.0376,0.9946,,
DATA,A001,1,46,37705,0.7833,-0.2197,0.5614,5.4321,-14.7705,0.2441,0.9884,,
DATA,A001,1,47,37745,0.7803,-0.2033,0.5734,4.5776,-17.1509,1.2207,0.9894,,
DATA,A001,1,48,37785,0.7842,-0.2060,0.5687,1.0986,-19.1040,4.2114,0.9904,,
DATA,A001,1,49,37825,0.7860,-0.2241,0.5648,0.7935,-17.2729,4.0283,0.9934,,
DATA,A001,1,50,37865,0.7867,-0.2150,0.5607,2.2583,-11.7188,2.1973,0.9897,,
DATA,A001,1,51,37905,0.7867,-0.2221,0.5709,2.9297,-12.6953,5.1880,0.9971,,
DATA,A001,1,52,37945,0.7479,-0.2563,1.1827,2.9297,-11.5967,4.3945,1.4226,,
DATA,A001,1,53,37985,0.7776,-0.2316,0.5626,3.7842,-13.1226,1.3428,0.9874,,
DATA,A001,1,54,38025,0.7762,-0.2382,0.5861,5.1270,-16.1133,0.1221,1.0013,,
DATA,A001,1,55,38065,0.7772,-0.2265,0.5778,5.4932,-16.2354,-1.7700,0.9945,,
DATA,A001,1,56,38105,0.7818,-0.2294,0.5687,7.8735,-15.7471,-2.9907,0.9936,,
