row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A001,,,7490,,,,,,,,NEW_SESSION,
EVENT,A001,1,,50868,,,,,,,,START,
DATA,A001,1,1,50983,0.4672,0.1154,0.8584,-3.9673,30.5786,-11.6577,0.9841,,
DATA,A001,1,2,51083,0.4536,0.1137,0.8899,-4.0894,3.6621,-2.9297,1.0052,,
DATA,A001,1,3,51183,0.4541,0.1203,0.8886,-1.2817,3.1738,-2.0752,1.0051,,
DATA,A001,1,4,51283,0.4475,0.1215,0.8913,-0.7935,3.0518,-0.9766,1.0047,,
DATA,A001,1,5,51383,0.4509,0.1125,0.8886,-1.2817,1.0376,0.0610,1.0028,,
DATA,A001,1,6,51483,0.4477,0.1193,0.8830,-2.0752,0.3052,0.1221,0.9972,,
DATA,A001,1,7,51583,0.4475,0.1181,0.8837,-0.7324,0.2441,0.8545,0.9976,,
DATA,A001,1,8,51683,0.4492,0.1132,0.8864,-0.0610,-0.7324,0.7324,1.0002,,
DATA,A001,1,9,51783,0.4560,0.1164,0.8938,0.4272,-5.7373,3.4180,1.0101,,
DATA,A001,1,10,51883,0.5146,0.1371,0.8977,-9.8877,-60.6689,18.1274,1.0438,,
DATA,A001,1,11,51983,0.5815,0.0627,0.7739,-8.1787,-6.1646,-1.9531,0.9700,,
EVENT,A001,1,,52065,,,,,,,,STOP,11
EVENT,A001,2,,53088,,,,,,,,START,
DATA,A001,2,1,53203,0.4926,0.1176,0.8325,-5.7373,16.3574,-5.8594,0.9744,,
DATA,A001,2,2,53303,0.4838,0.1117,0.8723,-0.3662,4.1504,-2.3193,1.0037,,
DATA,A001,2,3,53403,0.4824,0.1152,0.8737,-1.7090,0.3662,-0.5493,1.0047,,
DATA,A001,2,4,53503,0.4824,0.1137,0.8813,-0.9766,1.4038,-1.0376,1.0111,,
DATA,A001,2,5,53603,0.4868,0.1149,0.8891,-3.0518,-20.0806,4.5166,1.0201,,
DATA,A001,2,6,53703,0.5307,0.0900,0.8437,-16.6016,-32.7759,8.7280,1.0008,,
DATA,A001,2,7,53803,0.5549,0.0619,0.8532,14.2212,31.2500,-5.7373,1.0197,,
EVENT,A001,2,,53877,,,,,,,,STOP,7
EVENT,A001,,,19866,,,,,,,,NEW_SESSION,
EVENT,A001,1,,44562,,,,,,,,START,
DATA,A001,1,1,44666,0.8366,0.0209,0.4915,-3.3569,47.6074,-27.1606,0.9705,,
DATA,A001,1,2,44756,0.9030,-0.0040,0.5779,-7.3242,12.3291,2.5024,1.0721,,
DATA,A001,1,3,44850,0.8474,-0.0489,0.5430,-11.4746,3.2959,-0.1221,1.0076,,
DATA,A001,1,4,44936,0.8154,0.0043,0.5527,-9.7046,3.7842,-6.8970,0.9851,,
DATA,A001,1,5,45018,0.8530,-0.0159,0.5618,-13.1836,2.1973,-0.1831,1.0215,,
