row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A001,,,24610,,,,,,,,NEW_SESSION,
EVENT,A001,1,,43094,,,,,,,,START,
DATA,A001,1,1,43134,0.9118,-0.1494,0.6406,-16.4795,-22.5830,-22.7051,1.1243,,
DATA,A001,1,2,43174,0.8947,-0.1042,0.5971,-7.6294,8.7280,-2.2583,1.0807,,
DATA,A001,1,3,43214,0.8713,-0.0717,0.5986,-12.5732,-8.1177,3.7842,1.0595,,
DATA,A001,1,4,43254,0.8935,-0.0769,0.5864,-7.6904,-3.2349,1.0986,1.0715,,
DATA,A001,1,5,43294,0.8796,-0.0803,0.5759,-5.4321,-5.0049,2.8687,1.0544,,
DATA,A001,1,6,43334,0.8828,-0.0634,0.5661,-5.5542,-4.1504,3.9673,1.0506,,
DATA,A001,1,7,43374,0.8789,-0.0671,0.5647,-1.5259,-4.6387,2.1973,1.0468,,
DATA,A001,1,8,43414,0.8987,-0.1074,0.5866,2.7466,-10.1929,5.7373,1.0785,,
DATA,A001,1,9,43454,0.8901,-0.1096,0.5459,11.6577,-7.3853,6.4697,1.0499,,
DATA,A001,1,10,43494,0.9128,-0.1020,0.5505,3.1738,-19.0430,16.2964,1.0708,,
DATA,A001,1,11,43534,0.9692,-0.1342,0.5388,-11.9019,-46.6919,31.3110,1.1170,,
DATA,A001,1,12,43574,1.0241,-0.1696,0.5070,18.2495,-6.6528,-12.8784,1.1553,,
DATA,A001,1,13,43614,0.9914,-0.1171,0.5429,15.8081,6.0425,-32.3486,1.1364,,
DATA,A001,1,14,43654,0.8847,-0.1118,0.5871,3.5400,6.4087,-22.9492,1.0677,,
DATA,A001,1,15,43694,1.0290,-0.0329,0.5205,33.5083,7.8125,-22.8271,1.1536,,
DATA,A001,1,16,43734,0.8401,-0.0149,0.4970,13.6719,-10.8032,-12.3291,0.9762,,
DATA,A001,1,17,43774,0.8913,-0.0385,0.5341,24.3530,-25.6958,-14.1602,1.0398,,
DATA,A001,1,18,43814,0.9062,-0.0012,0.4770,24.7803,-54.1382,-6.1646,1.0241,,
